Location,Year,Total,Emergency_Shelters,Percentage
"Southeast Arkansas CoC",2012,64,64,100.00
"Southeast Arkansas CoC",2013,64,63,98.44
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2014,1643,1508,91.78
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2013,1690,1528,90.41
"Springfield/Hampden County CoC",2014,2690,2424,90.11
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2012,1424,1267,88.97
"Gloucester, Haverhill, Salem/Essex County CoC",2013,1286,1120,87.09
"Springfield/Hampden County CoC",2013,2117,1838,86.82
"Gloucester, Haverhill, Salem/Essex County CoC",2014,1487,1290,86.75
"Massachusetts Balance of State CoC",2014,3900,3373,86.49
"Springfield/Hampden County CoC",2012,2444,2071,84.74
"Gloucester, Haverhill, Salem/Essex County CoC",2012,993,839,84.49
"Lynn CoC",2014,382,320,83.77
"Lynn CoC",2012,414,346,83.57
"Southeast Arkansas CoC",2014,70,58,82.86
"Gadsden/Northeast Alabama CoC",2014,438,354,80.82
"Topeka/Shawnee County CoC",2013,439,343,78.13
"Boston CoC",2014,5987,4675,78.09
"Massachusetts Balance of State CoC",2013,2652,2070,78.05
"Topeka/Shawnee County CoC",2012,577,447,77.47
"Huntsville/North Alabama CoC",2014,536,413,77.05
"Lowell CoC",2013,559,428,76.57
"Worcester City & County CoC",2014,1796,1358,75.61
"Lowell CoC",2012,534,400,74.91
"District of Columbia CoC",2014,7748,5754,74.26
"Boston CoC",2012,5607,4142,73.87
"Lowell CoC",2014,588,434,73.81
"Boston CoC",2013,5881,4334,73.69
"Waukegan, North Chicago/Lake County CoC",2012,450,328,72.89
"Topeka/Shawnee County CoC",2014,416,300,72.12
"Massachusetts Balance of State CoC",2012,1872,1318,70.41
"Somerville CoC",2012,145,102,70.34
"Lynn CoC",2013,468,329,70.30
"Aurora, Elgin/Kane County CoC",2014,405,278,68.64
"Attleboro, Taunton/Bristol County CoC",2014,222,151,68.02
"Columbus-Muscogee/Russell County CoC",2012,333,224,67.27
"Howard County CoC",2014,170,114,67.06
"Waukegan, North Chicago/Lake County CoC",2013,497,328,66.00
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2013,396,261,65.91
"Bloomington/Central Illinois CoC",2014,669,438,65.47
"Annapolis/Anne Arundel County CoC",2014,384,251,65.36
"Anchorage CoC",2014,1023,665,65.00
"Cape Cod Islands CoC",2014,381,246,64.57
"Boise/Ada County CoC",2012,754,482,63.93
"Wichita/Sedgwick County CoC",2014,631,403,63.87
"Attleboro, Taunton/Bristol County CoC",2013,251,160,63.75
"Annapolis/Anne Arundel County CoC",2013,400,254,63.50
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2012,376,238,63.30
"Harford County CoC",2014,223,141,63.23
"Aurora, Elgin/Kane County CoC",2013,451,285,63.19
"Boise/Ada County CoC",2013,694,438,63.11
"Worcester City & County CoC",2013,1657,1043,62.95
"Alaska Balance of State CoC",2014,761,474,62.29
"Wichita/Sedgwick County CoC",2012,550,339,61.64
"Worcester City & County CoC",2012,1572,968,61.58
"Anchorage CoC",2012,1147,704,61.38
"Augusta-Richmond County CoC",2012,396,242,61.11
"Somerville CoC",2014,154,94,61.04
"Columbus-Muscogee/Russell County CoC",2013,294,179,60.88
"Cape Cod Islands CoC",2012,364,221,60.71
"Anchorage CoC",2013,1122,676,60.25
"Aurora, Elgin/Kane County CoC",2012,431,258,59.86
"South Central Illinois CoC",2012,124,74,59.68
"Wichita/Sedgwick County CoC",2013,538,321,59.67
"Attleboro, Taunton/Bristol County CoC",2012,249,148,59.44
"Annapolis/Anne Arundel County CoC",2012,373,221,59.25
"Harford County CoC",2012,189,111,58.73
"Southern Illinois CoC",2012,411,241,58.64
"Somerville CoC",2013,169,99,58.58
"Indiana Balance of State CoC",2014,4081,2385,58.44
"District of Columbia CoC",2013,6865,4010,58.41
"Boise/Ada County CoC",2014,753,439,58.30
"Connecticut Balance of State CoC",2014,3367,1962,58.27
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",2014,405,234,57.78
"Harford County CoC",2013,166,95,57.23
"Alaska Balance of State CoC",2012,766,435,56.79
"Rockford/Winnebago, Boone Counties CoC",2014,410,230,56.10
"Alaska Balance of State CoC",2013,824,461,55.95
"Connecticut Balance of State CoC",2013,3389,1892,55.83
"Huntsville/North Alabama CoC",2012,607,336,55.35
"Louisville-Jefferson County CoC",2014,1316,723,54.94
"Naples/Collier County CoC",2014,361,198,54.85
"Huntsville/North Alabama CoC",2013,586,320,54.61
"Delaware Statewide CoC",2013,946,516,54.55
"Connecticut Balance of State CoC",2012,3307,1802,54.49
"District of Columbia CoC",2012,6954,3772,54.24
"Cumberland/Allegany County CoC",2014,120,65,54.17
"Cambridge CoC",2014,551,297,53.90
"Indianapolis CoC",2013,1599,861,53.85
