CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Count_Year
AK-500,Anchorage CoC,,1023,665,305,0,970,53,736,530,158,0,688,48,287,135,147,282,5,102,52,48,100,2,101,59,0,59,42,94,56,0,56,38,7,3,3,4,138,92,28,0,120,18,2014
AK-500,Anchorage CoC,,1122,676,394,0,1070,52,844,553,239,0,792,52,278,123,155,278,0,87,38,49,87,0,89,68,0,68,21,83,62,0,62,21,6,6,6,0,144,,,,138,6,2013
AK-500,Anchorage CoC,,1147,704,393,0,1097,50,791,561,195,0,756,35,356,143,198,341,15,126,41,81,122,4,114,109,0,109,5,113,108,0,108,5,1,1,1,0,174,,,,167,7,2012
AK-501,Alaska Balance of State CoC,,761,474,195,0,669,92,473,318,103,0,421,52,288,156,92,248,40,91,56,23,79,12,105,78,0,78,27,88,63,0,63,25,17,15,15,2,40,27,13,0,40,0,2014
AK-501,Alaska Balance of State CoC,,824,461,210,0,671,153,518,282,134,0,416,102,306,179,76,255,51,109,67,28,95,14,95,70,0,70,25,83,62,0,62,21,12,8,8,4,66,,,,50,16,2013
AK-501,Alaska Balance of State CoC,,766,435,184,0,619,147,507,288,113,0,401,106,259,147,71,218,41,90,51,21,72,18,165,154,0,154,11,160,149,0,149,11,5,5,5,0,82,,,,60,22,2012
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",,1329,387,497,31,915,414,915,316,225,31,572,343,414,71,272,343,71,139,26,85,111,28,331,70,26,96,235,313,68,26,94,219,18,2,2,16,174,94,60,0,154,20,2014
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",,1469,373,556,31,960,509,1089,294,352,31,677,412,380,79,204,283,97,131,25,63,88,43,427,126,30,156,271,411,115,30,145,266,16,11,11,5,194,,,,155,39,2013
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",,1707,347,630,32,1009,698,1222,277,364,32,673,549,485,70,266,336,149,191,28,92,120,71,495,108,32,140,355,484,105,32,137,347,11,3,3,8,175,,,,117,58,2012
AL-501,Mobile City & County/Baldwin County CoC,,598,287,174,0,461,137,397,173,99,0,272,125,201,114,75,189,12,64,35,25,60,4,75,39,0,39,36,68,32,0,32,36,7,7,7,0,61,23,15,0,38,23,2014
AL-501,Mobile City & County/Baldwin County CoC,,493,153,107,0,260,233,343,99,23,0,122,221,150,54,84,138,12,51,18,28,46,5,91,10,0,10,81,89,8,0,8,81,2,2,2,0,41,,,,5,36,2013
AL-501,Mobile City & County/Baldwin County CoC,,634,212,112,0,324,310,422,130,25,0,155,267,212,82,87,169,43,62,23,29,52,10,75,17,0,17,58,75,17,0,17,58,0,0,0,0,52,,,,12,40,2012
AL-502,Florence/Northwest Alabama CoC,,209,38,151,0,189,20,132,26,93,0,119,13,77,12,58,70,7,23,3,19,22,1,13,3,0,3,10,13,3,0,3,10,0,0,0,0,7,3,2,0,5,2,2014
AL-502,Florence/Northwest Alabama CoC,,223,22,175,0,197,26,133,11,105,0,116,17,90,11,70,81,9,24,3,19,22,2,30,10,0,10,20,14,5,0,5,9,16,5,5,11,2,,,,0,2,2013
AL-502,Florence/Northwest Alabama CoC,,192,18,170,0,188,4,162,7,151,0,158,4,30,11,19,30,0,10,3,7,10,0,3,3,0,3,0,3,3,0,3,0,0,0,0,0,7,,,,7,0,2012
AL-503,Huntsville/North Alabama CoC,,536,413,86,0,499,37,386,336,13,0,349,37,150,77,73,150,0,45,21,24,45,0,107,84,0,84,23,98,75,0,75,23,9,9,9,0,64,54,4,0,58,6,2014
AL-503,Huntsville/North Alabama CoC,,586,320,89,0,409,177,457,262,33,0,295,162,129,58,56,114,15,41,20,17,37,4,120,46,0,46,74,114,44,0,44,70,6,2,2,4,77,,,,33,44,2013
AL-503,Huntsville/North Alabama CoC,,607,336,96,0,432,175,448,277,33,0,310,138,159,59,63,122,37,57,23,21,44,13,185,105,0,105,80,176,96,0,96,80,9,9,9,0,42,,,,32,10,2012
AL-504,Montgomery City & County CoC,,490,120,289,0,409,81,365,95,200,0,295,70,125,25,89,114,11,44,8,33,41,3,37,12,0,12,25,35,10,0,10,25,2,2,2,0,39,10,15,0,25,14,2014
AL-504,Montgomery City & County CoC,,515,159,240,0,399,116,446,136,194,0,330,116,69,23,46,69,0,21,6,15,21,0,69,11,0,11,58,69,11,0,11,58,0,0,0,0,59,,,,44,15,2013
AL-504,Montgomery City & County CoC,,487,96,247,0,343,144,383,84,164,0,248,135,104,12,83,95,9,33,4,26,30,3,82,15,0,15,67,76,15,0,15,61,6,0,0,6,67,,,,40,27,2012
AL-505,Gadsden/Northeast Alabama CoC,,438,354,14,0,368,70,359,308,7,0,315,44,79,46,7,53,26,38,23,2,25,13,36,16,0,16,20,26,16,0,16,10,10,0,0,10,34,29,0,0,29,5,2014
AL-505,Gadsden/Northeast Alabama CoC,,399,159,170,0,329,70,275,66,165,0,231,44,124,93,5,98,26,61,46,2,48,13,40,20,0,20,20,20,10,0,10,10,20,10,10,10,31,,,,26,5,2013
AL-505,Gadsden/Northeast Alabama CoC,,544,211,213,0,424,120,451,177,205,0,382,69,93,34,8,42,51,30,13,2,15,15,44,16,0,16,28,17,8,0,8,9,27,8,8,19,13,,,,12,1,2012
AL-506,Tuscaloosa City & County CoC,,245,11,122,0,133,112,167,5,98,0,103,64,78,6,24,30,48,20,2,6,8,12,80,2,0,2,78,43,2,0,2,41,37,0,0,37,90,1,74,0,75,15,2014
AL-506,Tuscaloosa City & County CoC,,99,11,84,0,95,4,72,9,59,0,68,4,27,2,25,27,0,6,1,5,6,0,9,5,0,5,4,9,5,0,5,4,0,0,0,0,66,,,,66,0,2013
AL-506,Tuscaloosa City & County CoC,,152,12,116,0,128,24,99,12,63,0,75,24,53,0,53,53,0,21,0,21,21,0,39,31,0,31,8,35,31,0,31,4,4,0,0,4,114,,,,114,0,2012
AL-507,Alabama Balance of State CoC,,716,241,303,0,544,172,394,160,188,0,348,46,322,81,115,196,126,84,23,22,45,39,50,31,0,31,19,22,13,0,13,9,28,18,18,10,73,37,29,0,66,7,2014
AL-507,Alabama Balance of State CoC,,905,358,239,0,597,308,572,174,199,0,373,199,333,184,40,224,109,160,87,20,107,53,72,37,0,37,35,42,21,0,21,21,30,16,16,14,41,,,,34,7,2013
AL-507,Alabama Balance of State CoC,,886,431,385,0,816,70,638,194,378,0,572,66,248,237,7,244,4,93,88,3,91,2,46,26,0,26,20,44,24,0,24,20,2,2,2,0,56,,,,43,13,2012
AR-500,Little Rock/Central Arkansas CoC,,1074,342,229,0,571,503,951,285,163,0,448,503,123,57,66,123,0,48,24,24,48,0,350,46,0,46,304,348,44,0,44,304,2,2,2,0,197,72,69,0,141,56,2014
AR-500,Little Rock/Central Arkansas CoC,,1066,244,319,0,563,503,986,228,255,0,483,503,80,16,64,80,0,27,5,22,27,0,373,69,0,69,304,364,60,0,60,304,9,9,9,0,260,,,,204,56,2013
AR-500,Little Rock/Central Arkansas CoC,,1249,329,433,0,762,487,1065,285,293,0,578,487,184,44,140,184,0,42,13,29,42,0,123,76,0,76,47,119,72,0,72,47,4,4,4,0,266,,,,156,110,2012
AR-501,Fayetteville/Northwest Arkansas CoC,,551,156,173,0,329,222,388,145,66,0,211,177,163,11,107,118,45,55,5,35,40,15,39,1,0,1,38,38,0,0,0,38,1,1,1,0,98,23,18,0,41,57,2014
AR-501,Fayetteville/Northwest Arkansas CoC,,668,313,133,0,446,222,379,94,108,0,202,177,289,219,25,244,45,98,73,10,83,15,65,27,0,27,38,47,9,0,9,38,18,18,18,0,147,,,,90,57,2013
AR-501,Fayetteville/Northwest Arkansas CoC,,186,54,93,0,147,39,109,34,44,0,78,31,77,20,49,69,8,31,8,20,28,3,60,24,0,24,36,35,17,0,17,18,25,7,7,18,30,,,,24,6,2012
AR-503,Arkansas  Balance of State  CoC,,1056,370,50,0,420,636,762,235,46,0,281,481,294,135,4,139,155,120,65,2,67,53,50,11,0,11,39,50,11,0,11,39,0,0,0,0,35,13,4,0,17,18,2014
