Location,Year,Total,SafeHaven_Housing,Percentage
"Monroe/Northeast Louisiana CoC",2013,200,9,4.50
"Rock Island, Moline/Northwestern Illinois CoC",2014,218,9,4.13
"Waukegan, North Chicago/Lake County CoC",2014,409,15,3.67
"Rock Island, Moline/Northwestern Illinois CoC",2013,219,7,3.20
"Bloomington/Central Illinois CoC",2012,668,21,3.14
"Monroe/Northeast Louisiana CoC",2012,257,8,3.11
"Wichita/Sedgwick County CoC",2012,550,17,3.09
"Bloomington/Central Illinois CoC",2013,536,16,2.99
"Waukegan, North Chicago/Lake County CoC",2012,450,13,2.89
"Bloomington/Central Illinois CoC",2014,669,19,2.84
"Waukegan, North Chicago/Lake County CoC",2013,497,14,2.82
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2014,1329,31,2.33
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2013,1469,31,2.11
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2012,1707,32,1.87
"Wichita/Sedgwick County CoC",2013,538,9,1.67
"Wichita/Sedgwick County CoC",2014,631,10,1.58
"Indianapolis CoC",2012,1647,25,1.52
"Baltimore CoC",2013,2638,40,1.52
"Indianapolis CoC",2013,1599,24,1.50
"Baltimore CoC",2014,2567,37,1.44
"Decatur/Macon County CoC",2012,210,3,1.43
"Monroe/Northeast Louisiana CoC",2014,220,3,1.36
"Shreveport, Bossier/Northwest Louisiana CoC",2013,692,9,1.30
"Ft Lauderdale/Broward County CoC",2014,2766,35,1.27
"Ft Lauderdale/Broward County CoC",2013,2810,35,1.25
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2014,3391,41,1.21
"Cook County CoC",2013,1242,15,1.21
"Cook County CoC",2012,1242,15,1.21
"West Palm Beach/Palm Beach County CoC",2014,1596,19,1.19
"Cook County CoC",2014,1182,14,1.18
"Indianapolis CoC",2014,1890,22,1.16
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2013,1658,19,1.15
"Shreveport, Bossier/Northwest Louisiana CoC",2012,804,9,1.12
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2013,3913,43,1.10
"Delaware Statewide CoC",2013,946,10,1.06
"Ft Lauderdale/Broward County CoC",2012,3183,33,1.04
"West Palm Beach/Palm Beach County CoC",2013,1559,16,1.03
"Gloucester, Haverhill, Salem/Essex County CoC",2012,993,10,1.01
"Tampa/Hillsborough County CoC",2013,1909,19,1.00
"Delaware Statewide CoC",2012,1008,10,0.99
"Baltimore CoC",2012,3854,38,0.99
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2012,3971,38,0.96
"Fresno City & County/Madera County CoC",2014,2592,23,0.89
"Gloucester, Haverhill, Salem/Essex County CoC",2013,1286,11,0.86
"San Francisco CoC",2014,6408,54,0.84
"Long Beach CoC",2013,2847,24,0.84
"Louisville-Jefferson County CoC",2014,1316,11,0.84
"Worcester City & County CoC",2012,1572,13,0.83
"Punta Gorda/Charlotte County CoC",2014,511,4,0.78
"Worcester City & County CoC",2013,1657,13,0.78
"San Francisco CoC",2013,7008,54,0.77
"West Palm Beach/Palm Beach County CoC",2012,2116,16,0.76
"New Orleans/Jefferson Parish CoC",2014,1981,15,0.76
