Location,Year,Total,Transitional_Housing,Percentage
"Florence/Northwest Alabama CoC",2012,192,170,88.54
"Champaign, Urbana, Rantoul/Champaign County CoC",2014,205,179,87.32
"Tuscaloosa City & County CoC",2013,99,84,84.85
"Florence/Northwest Alabama CoC",2013,223,175,78.48
"Tuscaloosa City & County CoC",2012,152,116,76.32
"Rock Island, Moline/Northwestern Illinois CoC",2013,219,159,72.60
"Florence/Northwest Alabama CoC",2014,209,151,72.25
"DuPage County CoC",2012,641,440,68.64
"McHenry County CoC",2012,196,133,67.86
"Champaign, Urbana, Rantoul/Champaign County CoC",2012,209,141,67.46
"New Bedford CoC",2012,374,250,66.84
"Rock Island, Moline/Northwestern Illinois CoC",2014,218,145,66.51
"Lexington-Fayette County CoC",2012,1370,911,66.50
"Fulton County CoC",2014,477,317,66.46
"Alexandria/Central Louisiana CoC",2012,188,121,64.36
"Marietta/Cobb County CoC",2012,392,250,63.78
"DuPage County CoC",2013,665,421,63.31
"McHenry County CoC",2013,185,117,63.24
"New Bedford CoC",2013,337,213,63.20
"DuPage County CoC",2014,654,409,62.54
"Louisiana Balance of State CoC",2013,1061,656,61.83
"Louisiana Balance of State CoC",2014,876,537,61.30
"New Bedford CoC",2014,349,213,61.03
"West Central Illinois CoC",2013,133,80,60.15
"Iowa Balance of State CoC",2013,1920,1149,59.84
"Lexington-Fayette County CoC",2013,1408,835,59.30
"Montgomery City & County CoC",2014,490,289,58.98
"Cumberland/Allegany County CoC",2013,76,44,57.89
"El Dorado County CoC",2013,180,104,57.78
"Lexington-Fayette County CoC",2014,1544,887,57.45
"Iowa Balance of State CoC",2012,1860,1067,57.37
"Monroe/Northeast Louisiana CoC",2013,200,114,57.00
"Fulton County CoC",2013,428,243,56.78
"Louisiana Balance of State CoC",2012,826,466,56.42
"Slidell/Southeast Louisiana CoC",2013,276,155,56.16
"Shreveport, Bossier/Northwest Louisiana CoC",2012,804,448,55.72
"West Central Illinois CoC",2014,145,80,55.17
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2014,630,347,55.08
"Slidell/Southeast Louisiana CoC",2012,276,152,55.07
"Iowa Balance of State CoC",2014,1939,1058,54.56
"Lafayette/Acadiana CoC",2014,471,257,54.56
"Shreveport, Bossier/Northwest Louisiana CoC",2014,655,357,54.50
"Chicago CoC",2014,6287,3424,54.46
"Kansas Balance of State CoC",2012,1043,568,54.46
"Panama City/Bay, Jackson Counties CoC",2013,301,162,53.82
