Location,Year,Total,Unsheltered,Percentage
"Pasco County CoC",2013,3305,3200,96.8230
"Hendry, Hardee, Highlands Counties CoC",2013,3847,3711,96.4648
"Del Norte County CoC",2012,437,421,96.3387
"Pasco County CoC",2012,4351,4159,95.5872
"Pasco County CoC",2014,3356,3200,95.3516
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2013,1278,1197,93.6620
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2012,1180,1096,92.8814
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2014,1070,987,92.2430
"Delta Hills CoC",2012,785,718,91.4650
"Hendry, Hardee, Highlands Counties CoC",2012,1319,1205,91.3571
"Mendocino County CoC",2012,1441,1314,91.1867
"Guam CoC",2014,1356,1230,90.7080
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2014,2591,2342,90.3898
"San Luis Obispo County CoC",2013,2357,2122,90.0297
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2013,2240,2016,90.0000
"Guam CoC",2013,1271,1143,89.9292
"San Luis Obispo County CoC",2014,2366,2122,89.6872
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2012,1724,1545,89.6172
"San Luis Obispo County CoC",2012,2129,1901,89.2907
"Colorado Balance of State CoC",2012,9283,8268,89.0660
"Mendocino County CoC",2013,1392,1218,87.5000
"Tampa/Hillsborough County CoC",2012,7419,6447,86.8985
"Mendocino County CoC",2014,1404,1218,86.7521
"St. Johns County CoC",2012,1385,1201,86.7148
"St. Johns County CoC",2014,1401,1204,85.9386
"Guam CoC",2012,1301,1114,85.6264
"Fresno City & County/Madera County CoC",2012,4492,3822,85.0846
"St. Johns County CoC",2013,1437,1204,83.7857
"Riverside City & County CoC",2012,6096,5090,83.4974
"Hendry, Hardee, Highlands Counties CoC",2014,1346,1112,82.6152
"Watsonville/Santa Cruz City & County CoC",2014,3529,2895,82.0346
"Watsonville/Santa Cruz City & County CoC",2013,3536,2895,81.8722
"Fresno City & County/Madera County CoC",2013,3131,2537,81.0284
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2014,1577,1275,80.8497
"Georgia Balance of State CoC",2012,11105,8855,79.7389
"Merced City & County CoC",2014,768,609,79.2969
"Humboldt County CoC",2013,864,684,79.1667
